tokens per iteration: 524,288
DataLoader: total number of tokens: 5,000,000,000 across 50 files
DataLoader: total number of tokens: 100,000,000 across 1 files
compiling the model...
step:256/4768 | val loss 5.306195
step:256/4768 | loss 0.164675 | train_time:1071.54s | step_avg:4169.41ms
step:257/4768 | loss 0.166330 | train_time:1075.61s | step_avg:4169.04ms
step:258/4768 | loss 0.165204 | train_time:1079.69s | step_avg:4168.67ms
step:259/4768 | loss 0.163749 | train_time:1083.76s | step_avg:4168.30ms
step:260/4768 | loss 0.163703 | train_time:1087.83s | step_avg:4167.93ms
step:261/4768 | loss 0.162061 | train_time:1091.90s | step_avg:4167.56ms
step:262/4768 | loss 0.164234 | train_time:1096.00s | step_avg:4167.31ms
step:263/4768 | loss 0.163262 | train_time:1100.08s | step_avg:4166.97ms
step:264/4768 | loss 0.162650 | train_time:1104.15s | step_avg:4166.61ms
step:265/4768 | loss 0.161916 | train_time:1108.22s | step_avg:4166.25ms
step:266/4768 | loss 0.161952 | train_time:1112.30s | step_avg:4165.92ms
step:267/4768 | loss 0.162129 | train_time:1116.37s | step_avg:4165.57ms
step:268/4768 | loss 0.160510 | train_time:1120.44s | step_avg:4165.22ms
step:269/4768 | loss 0.162538 | train_time:1124.51s | step_avg:4164.87ms
step:270/4768 | loss 0.162167 | train_time:1128.59s | step_avg:4164.53ms
step:271/4768 | loss 0.162641 | train_time:1132.66s | step_avg:4164.19ms
step:272/4768 | loss 0.160634 | train_time:1136.73s | step_avg:4163.86ms
step:273/4768 | loss 0.162939 | train_time:1140.81s | step_avg:4163.52ms
step:274/4768 | loss 0.160672 | train_time:1144.88s | step_avg:4163.19ms
step:275/4768 | loss 0.162221 | train_time:1148.95s | step_avg:4162.87ms
step:276/4768 | loss 0.161071 | train_time:1153.02s | step_avg:4162.54ms
step:277/4768 | loss 0.160254 | train_time:1157.10s | step_avg:4162.22ms
step:278/4768 | loss 0.159369 | train_time:1161.17s | step_avg:4161.90ms
step:279/4768 | loss 0.159192 | train_time:1165.24s | step_avg:4161.58ms
step:280/4768 | loss 0.161526 | train_time:1169.32s | step_avg:4161.29ms
step:281/4768 | loss 0.164087 | train_time:1173.39s | step_avg:4160.97ms
step:282/4768 | loss 0.159901 | train_time:1177.47s | step_avg:4160.66ms
step:283/4768 | loss 0.160894 | train_time:1181.55s | step_avg:4160.37ms
step:284/4768 | loss 0.159109 | train_time:1185.62s | step_avg:4160.06ms
step:285/4768 | loss 0.161704 | train_time:1189.69s | step_avg:4159.76ms
step:286/4768 | loss 0.159523 | train_time:1193.77s | step_avg:4159.47ms
step:287/4768 | loss 0.158830 | train_time:1197.84s | step_avg:4159.17ms
step:288/4768 | loss 0.158401 | train_time:1201.92s | step_avg:4158.88ms
step:289/4768 | loss 0.158333 | train_time:1205.99s | step_avg:4158.60ms
step:290/4768 | loss 0.160098 | train_time:1210.07s | step_avg:4158.31ms
step:291/4768 | loss 0.157524 | train_time:1214.14s | step_avg:4158.01ms
step:292/4768 | loss 0.159456 | train_time:1218.22s | step_avg:4157.74ms
step:293/4768 | loss 0.156865 | train_time:1222.29s | step_avg:4157.45ms
step:294/4768 | loss 0.161696 | train_time:1226.36s | step_avg:4157.16ms
step:295/4768 | loss 0.158235 | train_time:1230.43s | step_avg:4156.87ms
step:296/4768 | loss 0.158912 | train_time:1234.51s | step_avg:4156.59ms
step:297/4768 | loss 0.159764 | train_time:1238.58s | step_avg:4156.31ms
step:298/4768 | loss 0.156917 | train_time:1242.65s | step_avg:4156.03ms
step:299/4768 | loss 0.157989 | train_time:1246.72s | step_avg:4155.75ms
step:300/4768 | loss 0.156342 | train_time:1250.80s | step_avg:4155.47ms
step:301/4768 | loss 0.157089 | train_time:1254.87s | step_avg:4155.19ms
step:302/4768 | loss 0.156042 | train_time:1258.94s | step_avg:4154.92ms
step:303/4768 | loss 0.156480 | train_time:1263.01s | step_avg:4154.64ms
step:304/4768 | loss 0.158282 | train_time:1267.08s | step_avg:4154.37ms
step:305/4768 | loss 0.155863 | train_time:1271.16s | step_avg:4154.10ms
step:306/4768 | loss 0.156104 | train_time:1275.23s | step_avg:4153.83ms
